epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
89,528.417,0.81581,0.73867,0.96693,0.19276,0.166,0.16202,0.12358,1.51391,4.4987,1.27972,6.77488e-05,6.77488e-05,6.77488e-05
90,534.339,0.85077,0.70484,0.98909,0.23414,0.13333,0.14969,0.11609,1.48542,4.38459,1.28361,6.25414e-05,6.25414e-05,6.25414e-05
91,540.393,0.79542,0.66211,0.97414,0.21407,0.17931,0.13789,0.10381,1.44989,4.37115,1.26556,5.7334e-05,5.7334e-05,5.7334e-05
92,546.225,0.7754,0.64119,0.94782,0.23111,0.14527,0.14228,0.10894,1.48835,4.48321,1.28063,5.21266e-05,5.21266e-05,5.21266e-05
93,552.114,0.7462,0.62667,0.93084,0.1987,0.20454,0.14091,0.10227,1.48754,4.52536,1.28351,4.69192e-05,4.69192e-05,4.69192e-05
94,557.987,0.735,0.61274,0.93295,0.22406,0.21229,0.15805,0.11281,1.50914,4.57542,1.29431,4.17118e-05,4.17118e-05,4.17118e-05
95,563.875,0.75256,0.59063,0.93369,0.23689,0.22871,0.1587,0.11189,1.51565,4.60432,1.29221,3.65044e-05,3.65044e-05,3.65044e-05
96,569.73,0.74559,0.60354,0.94098,0.23428,0.23367,0.15735,0.10737,1.49968,4.57812,1.2966,3.1297e-05,3.1297e-05,3.1297e-05
97,575.683,0.71786,0.58396,0.91815,0.22278,0.23272,0.15307,0.10818,1.47325,4.51536,1.28463,2.60896e-05,2.60896e-05,2.60896e-05
98,581.74,0.73245,0.57774,0.9292,0.22952,0.2212,0.15351,0.1079,1.47289,4.50729,1.29083,2.08822e-05,2.08822e-05,2.08822e-05
99,587.567,0.73762,0.56919,0.94001,0.21521,0.20033,0.14856,0.10771,1.46815,4.48377,1.29219,1.56748e-05,1.56748e-05,1.56748e-05
100,593.485,0.72474,0.59784,0.92997,0.246,0.2,0.15217,0.11438,1.49444,4.51734,1.30641,1.04674e-05,1.04674e-05,1.04674e-05
